시도,시군구,총계,청소년수련관,청소년문화의집,청소년수련원,청소년야영장,유스호스텔,청소년특화시설
강원,강릉시,4,1,2,1,0,0,0
강원,고성군,5,1,3,1,0,0,0
강원,동해시,3,1,2,0,0,0,0
강원,삼척시,4,1,3,0,0,0,0
강원,속초시,3,1,1,0,0,1,0
강원,양구군,7,1,5,0,1,0,0
강원,양양군,1,1,0,0,0,0,0
강원,영월군,3,1,1,0,0,1,0
강원,원주시,7,1,3,2,0,1,0
강원,인제군,6,0,4,2,0,0,0
강원,정선군,4,1,3,0,0,0,0
강원,철원군,3,1,1,1,0,0,0
강원,춘천시,5,1,1,1,0,2,0
강원,태백시,5,1,2,0,0,1,1
강원,평창군,6,0,2,2,0,2,0
강원,홍천군,3,1,1,1,0,0,0
강원,화천군,4,1,1,1,1,0,0
강원,횡성군,4,1,1,0,1,1,0
경기,가평군,15,0,3,5,3,3,1
경기,고양시,8,3,3,1,1,0,0
경기,과천시,2,1,1,0,0,0,0
경기,광명시,6,1,5,0,0,0,0
경기,광주시,4,1,1,0,2,0,0
경기,구리시,2,1,1,0,0,0,0
경기,군포시,3,1,2,0,0,0,0
경기,김포시,8,1,5,2,0,0,0
경기,남양주시,6,1,1,3,0,1,0
경기,동두천시,4,1,2,0,1,0,0
경기,부천시,6,3,3,0,0,0,0
경기,성남시,9,6,3,0,0,0,0
경기,수원시,8,3,4,0,0,1,0
경기,시흥시,10,1,9,0,0,0,0
경기,안산시,8,2,4,1,0,1,0
경기,안성시,4,1,1,1,1,0,0
경기,안양시,9,2,6,0,0,1,0
경기,양주시,5,0,2,3,0,0,0
경기,양평군,4,0,3,1,0,0,0
경기,여주시,6,0,1,4,0,1,0
경기,연천군,3,1,1,1,0,0,0
경기,오산시,3,0,3,0,0,0,0
경기,용인시,10,1,3,1,1,4,0
경기,의왕시,3,1,2,0,0,0,0
경기,의정부시,4,1,3,0,0,0,0
경기,이천시,5,1,3,1,0,0,0
경기,파주시,7,1,4,1,0,1,0
경기,평택시,8,1,5,1,0,1,0
경기,포천시,7,1,1,4,1,0,0
경기,하남시,3,1,2,0,0,0,0
경기,화성시,6,1,3,2,0,0,0
경남,거제시,9,1,3,2,0,3,0
경남,거창군,4,1,1,2,0,0,0
경남,고성군,5,1,1,1,0,2,0
경남,김해시,3,1,2,0,0,0,0
경남,남해군,4,0,0,2,0,2,0
경남,밀양시,3,1,1,1,0,0,0
경남,사천시,2,1,1,0,0,0,0
경남,산청군,4,1,0,2,1,0,0
경남,양산시,7,1,2,1,1,2,0
경남,의령군,3,1,1,1,0,0,0
경남,진주시,2,1,0,0,0,1,0
경남,창녕군,5,1,2,1,0,1,0
경남,창원시,9,5,3,0,1,0,0
경남,통영시,5,0,1,1,0,3,0
경남,하동군,5,1,1,2,1,0,0
경남,함안군,3,1,1,1,0,0,0
경남,함양군,1,0,0,1,0,0,0
경남,합천군,3,0,1,2,0,0,0
경북,경산시,3,0,2,1,0,0,0
경북,경주시,13,1,1,3,0,8,0
경북,고령군,1,0,1,0,0,0,0
경북,구미시,3,1,2,0,0,0,0
경북,김천시,2,0,1,1,0,0,0
경북,문경시,3,1,1,0,0,1,0
경북,봉화군,2,1,0,1,0,0,0
경북,상주시,2,1,1,0,0,0,0
경북,성주군,1,0,1,0,0,0,0
경북,안동시,3,1,1,1,0,0,0
경북,영덕군,3,0,1,1,0,1,0
경북,영양군,2,1,0,1,0,0,0
경북,영주시,3,0,1,1,1,0,0
경북,영천시,2,1,1,0,0,0,0
경북,예천군,2,1,1,0,0,0,0
경북,울릉군,1,1,0,0,0,0,0
경북,울진군,2,1,1,0,0,0,0
경북,의성군,2,1,1,0,0,0,0
경북,청도군,1,1,0,0,0,0,0
경북,청송군,1,1,0,0,0,0,0
경북,칠곡군,3,1,1,0,0,1,0
경북,포항시,3,1,1,1,0,0,0
광주,광산구,4,1,3,0,0,0,0
광주,남구,2,1,1,0,0,0,0
광주,동구,3,1,1,0,0,0,1
광주,북구,4,1,3,0,0,0,0
광주,서구,6,1,4,1,0,0,0
대구,군위군,2,0,1,1,0,0,0
대구,남구,3,0,1,0,0,0,2
대구,달서구,3,1,1,1,0,0,0
대구,달성군,3,1,1,0,0,1,0
대구,동구,3,0,2,0,0,1,0
대구,북구,2,1,1,0,0,0,0
대구,서구,2,1,1,0,0,0,0
대구,수성구,3,1,1,1,0,0,0
대구,중구,1,0,1,0,0,0,0
대전,대덕구,2,1,1,0,0,0,0
대전,동구,2,1,0,1,0,0,0
대전,서구,6,1,5,0,0,0,0
대전,유성구,3,1,2,0,0,0,0
대전,중구,2,0,1,1,0,0,0
부산,금정구,2,1,0,1,0,0,0
부산,기장군,3,1,1,1,0,0,0
부산,남구,1,0,0,0,0,1,0
부산,동래구,1,1,0,0,0,0,0
부산,부산진구,5,1,4,0,0,0,0
부산,북구,2,1,1,0,0,0,0
부산,사상구,1,1,0,0,0,0,0
부산,사하구,2,0,1,1,0,0,0
부산,서구,3,1,1,0,1,0,0
부산,수영구,2,0,1,1,0,0,0
부산,영도구,1,1,0,0,0,0,0
